user_id,data,Tipo,Reflexoes,Pensamento Suicida,Elogio,Sugestoes da IA,Tamanho,Vibe,Temas,Subtemas,quantidade_comentarios,engajamento,tema
01fa5fc6-6aba-4a9f-9c7b-02ee230da37f,4/4/2025,Journaling,Nada,Não,Neutro,Não,Normal,Positiva,Uso Aplicativo,Introdução ao uso do Dailydots e registro de conta.,1,baixo,Uso Aplicativo
02a34da6-cc1b-4992-902b-fe071939661f,4/5/2025,Journaling,Nada,Não,Neutro,Não,Muito curto,,Outros,Outros,1,baixo,Outros
07039758-bca1-450b-8285-e252f2bbdd15,3/24/2025,Journaling,Nada,Não,Neutro,Não,Normal,Positiva,Autoconhecimento,Sentimento de bem-estar e tranquilidade,2,baixo,Autoconhecimento
07039758-bca1-450b-8285-e252f2bbdd15,3/27/2025,Desabafo,Nada,Não,Neutro,Não,Normal,Negativa,Familiar,"Abandono familiar, Tristeza com parente",2,baixo,Familiar
078c96a4-58e5-41c0-821f-3982e74f706a,3/31/2025,Journaling,Nada,Não,Neutro,Não,Muito curto,Positiva,Uso Aplicativo,Introdução ao uso do Dailydots,1,baixo,Uso Aplicativo
07be4074-3f98-497f-b103-eabf65446883,4/3/2025,Journaling,Nada,Não,Neutro,Não,Muito curto,,Outros,Outros,2,baixo,Outros
07be4074-3f98-497f-b103-eabf65446883,4/5/2025,Journaling,Nada,Não,Neutro,Não,Muito curto,Neutra,Rotina,Procrastinação,2,baixo,Rotina
0ad14368-5c9d-495b-9fb7-a24e1c1c39df,3/27/2025,Journaling,Pouco,Não,Elogio,Sim,Longo,Positiva,Financeiros,Organização Financeira,4,médio,Financeiros
0ad14368-5c9d-495b-9fb7-a24e1c1c39df,3/29/2025,Journaling,Muito,Não,Neutro,Não,Longo,Positiva,Familiar,Busca por paz e conexão familiar através de atividades e reflexões sobre o uso de álcool.,4,médio,Familiar
0ad14368-5c9d-495b-9fb7-a24e1c1c39df,3/31/2025,Journaling,Pouco,Não,Neutro,Não,Normal,Negativa,Outros,Sentimento de tristeza,4,médio,Outros
0ad14368-5c9d-495b-9fb7-a24e1c1c39df,4/4/2025,Journaling,Muito,Não,Neutro,Sim,Longo,Negativa,Ansiedade,Insegurança e Medo,4,médio,Outros
0afb3fac-cd77-4642-a644-a176837033a7,4/3/2025,Journaling,Pouco,Não,Elogio,Sim,Longo,Neutra,Familiar,"Doença na família, perda de um ente querido, preocupação com o futuro dos entes queridos.",1,baixo,Familiar
0b989b39-3eb9-4403-b5be-0b2af3ed8c86,2/5/2025,Journaling,Muito,Não,Elogio,Não,Longo,Positiva,Amoroso,"Separação, Adaptação no Trabalho, Comunicação, Autoconhecimento",2,baixo,Amoroso
0b989b39-3eb9-4403-b5be-0b2af3ed8c86,2/5/2025,Journaling,Muito,Não,Elogio,Não,Longo,Positiva,Trabalho,"Separação, Adaptação no Trabalho, Comunicação, Autoconhecimento",2,baixo,Amoroso
0b989b39-3eb9-4403-b5be-0b2af3ed8c86,2/5/2025,Journaling,Muito,Não,Elogio,Não,Longo,Positiva,Amoroso,"Separação, Adaptação no Trabalho, Comunicação, Autoconhecimento",2,baixo,Amoroso
0b989b39-3eb9-4403-b5be-0b2af3ed8c86,2/6/2025,Journaling,Muito,Não,Neutro,Não,Longo,Neutra,Ansiedade,"Comunicação, Autoconhecimento, Ego, Saúde e Bem-estar",2,baixo,Saúde
0dad8b9d-aa9e-4523-a322-caf515030f3a,3/29/2025,Journaling,Pouco,Não,Elogio,Sim,Longo,Positiva,Amoroso,Desafios no trabalho e projetos pessoais,5,médio,Trabalho
0dad8b9d-aa9e-4523-a322-caf515030f3a,3/30/2025,Desabafo,Nada,Não,Neutro,Não,Longo,Negativa,Amoroso,Expectativas no casamento e parentalidade,5,médio,Amoroso
0dad8b9d-aa9e-4523-a322-caf515030f3a,3/31/2025,Journaling,Nada,Não,Neutro,Não,Curto,,Outros,Outros,5,médio,Outros
0dad8b9d-aa9e-4523-a322-caf515030f3a,4/4/2025,Journaling,Pouco,Não,Neutro,Não,Normal,Neutra,Trabalho,Cansaço e Produtividade no Trabalho,5,médio,Trabalho
0dad8b9d-aa9e-4523-a322-caf515030f3a,4/7/2025,Journaling,Nada,Não,Neutro,Não,Curto,Positiva,Ansiedade,Nenhum específico,5,médio,Outros
